Date,Time,SM_4,SM_INI,ST_4,temp,humidity,precip,windspeed,cloudcover,conditions
01-01-2022,00:00,35.9,35.9,15.5,21.6,84.5,0,22.3,100,Overcast
01-01-2022,01:00,36,35.9,15.6,21.6,84.97,0,27.7,91.7,Overcast
01-01-2022,02:00,36,35.9,15.6,21.2,86.87,0,22.8,62.7,Partially cloudy
01-01-2022,03:00,35.8,35.9,15.7,21.2,86.66,0,22.8,91.7,Overcast
01-01-2022,04:00,35.9,36,15.7,21.6,84.5,0,19.8,100,Overcast
01-01-2022,05:00,35.9,36,15.8,21.2,86.73,0,13.5,91.7,Overcast
01-01-2022,06:00,35.9,35.8,15.8,21.1,86.93,0.063,16.2,62.7,"Rain, Partially cloudy"
01-01-2022,07:00,36,35.9,15.8,20.6,87.58,0,17,62.7,Partially cloudy
01-01-2022,08:00,35.8,35.9,15.9,21.5,85.16,0,19.1,91.7,Overcast
01-01-2022,09:00,35.8,35.9,15.9,22.1,81.77,0,27.8,91.7,Overcast
01-01-2022,10:00,35.7,36,15.9,23.4,75.86,0,31.5,91.7,Overcast
01-01-2022,11:00,35.5,35.8,15.9,24.4,69.01,0,39.5,91.7,Overcast
01-01-2022,12:00,35.4,35.8,16,24.2,70.84,0,32.1,91.7,Overcast
01-01-2022,13:00,35.5,35.7,16.1,25.1,64.21,0,33.1,79,Partially cloudy
01-01-2022,14:00,35.4,35.5,16.3,26.1,60.56,0,39.5,79,Partially cloudy
01-01-2022,15:00,35.5,35.4,16.4,24.1,69.08,0,29.7,97.2,Overcast
01-01-2022,16:00,35.4,35.5,16.5,24.1,70.3,0,25.9,88.9,Partially cloudy
01-01-2022,17:00,35.4,35.4,16.6,23.9,70.94,0,26.8,91.7,Overcast
01-01-2022,18:00,35.4,35.5,16.6,23.9,70.78,0,40.2,100,Overcast
01-01-2022,19:00,42.2,35.4,17,18.5,87.37,1.553,13,100,"Rain, Overcast"
01-01-2022,20:00,44,35.4,16.9,14.4,96.81,32.5,24.1,100,"Rain, Overcast"
01-01-2022,21:00,42.1,35.4,16.6,14.9,98.37,11.714,11.6,100,"Rain, Overcast"
01-01-2022,22:00,43.8,42.2,16.4,14.3,96.89,7.173,21.4,100,"Rain, Overcast"
01-01-2022,23:00,41.1,44,16.1,14.4,98.94,3.657,8.4,100,"Rain, Overcast"
02-01-2022,00:00,40.5,42.1,16,14.3,100,4.565,7,100,"Rain, Overcast"
02-01-2022,01:00,39.7,43.8,16,14.4,99.67,0,8.4,100,Overcast
02-01-2022,02:00,39.4,41.1,15.9,14.4,99.51,0,9.4,100,Overcast
02-01-2022,03:00,39.1,40.5,15.8,14.4,99.51,0.127,11.2,100,"Rain, Overcast"
02-01-2022,04:00,38.8,39.7,15.8,14.4,99.42,0,4,100,Overcast
02-01-2022,05:00,38.6,39.4,15.7,14.4,99.42,0,9.8,100,Overcast
02-01-2022,06:00,38.4,39.1,15.7,14.3,99.1,0,6.4,100,Overcast
02-01-2022,07:00,38.3,38.8,15.6,14.4,98.37,0,9.8,100,Overcast
02-01-2022,08:00,38.2,38.6,15.6,13.9,99.42,0,8.9,100,Overcast
02-01-2022,09:00,38,38.4,15.5,14.1,98.36,0,10.2,100,Overcast
02-01-2022,10:00,38,38.3,15.5,12.7,95.28,0,18,100,Overcast
02-01-2022,11:00,37.7,38.2,15.5,11.7,94.13,0,22.2,100,Overcast
02-01-2022,12:00,37.6,38,15.5,11,93.87,0,16.6,100,Overcast
02-01-2022,13:00,37.5,38,15.4,10,92.5,0,19.4,100,Overcast
02-01-2022,14:00,37.3,37.7,15.4,9.3,92.99,0,18.5,100,Overcast
02-01-2022,15:00,37.5,37.6,15.3,9.1,90.33,0,20,100,Overcast
02-01-2022,16:00,37.2,37.5,15.2,8.1,92.15,0.477,18.9,100,"Rain, Overcast"
02-01-2022,17:00,37.2,37.3,15.1,7.6,92.44,0.569,17.6,100,"Rain, Overcast"
02-01-2022,18:00,37.1,37.5,14.9,6.2,95.14,0.215,25.2,100,"Rain, Overcast"
02-01-2022,19:00,37.3,37.2,14.8,5.2,92.67,0.924,25,100,"Rain, Overcast"
02-01-2022,20:00,38.1,37.2,14.6,3.4,97.67,1.498,22.6,100,"Rain, Overcast"
02-01-2022,21:00,39.9,37.1,14.3,0.5,97.8,3.051,21.1,100,"Snow, Rain, Overcast"
02-01-2022,22:00,39.7,37.3,14,0.1,98.28,0.712,14.2,100,"Snow, Rain, Overcast"
02-01-2022,23:00,39.5,38.1,13.8,-0.2,99.15,1.125,23,100,"Snow, Rain, Overcast"
03-01-2022,00:00,39.2,39.9,13.6,-0.4,99.42,1.35,21.6,100,"Snow, Rain, Overcast"
03-01-2022,01:00,39.1,39.7,13.4,-0.3,94.83,0.124,23.7,100,"Snow, Rain, Overcast"
03-01-2022,02:00,38.9,39.5,13.2,-0.2,94.38,0.046,23.3,100,"Snow, Rain, Overcast"
03-01-2022,03:00,38.9,39.2,13.1,-0.5,91.36,0,22.1,100,Overcast
03-01-2022,04:00,38.8,39.1,12.9,-0.7,94.43,0,26.8,100,Overcast
03-01-2022,05:00,38.9,38.9,12.8,-0.8,93.99,0,28.5,100,Overcast
03-01-2022,06:00,38.8,38.9,12.7,-1.1,92.99,0,27.5,100,Overcast
03-01-2022,07:00,38.8,38.8,12.5,-1.2,91.53,0,21.5,100,Overcast
03-01-2022,08:00,38.8,38.9,12.4,-1.2,90.07,0,19.2,100,Overcast
03-01-2022,09:00,38.8,38.8,12.3,-1.5,86.41,0,19.6,100,Overcast
03-01-2022,10:00,38.8,38.8,12.2,-1.3,86.43,0,16.2,100,Overcast
03-01-2022,11:00,38.6,38.8,12.1,-1.3,82.42,0,18.4,95.8,Overcast
03-01-2022,12:00,38.6,38.8,12,-0.8,79.67,0.494,18.5,85.8,"Snow, Rain, Partially cloudy"
03-01-2022,13:00,38.6,38.8,11.9,-0.5,78.33,0.185,15.2,100,"Snow, Rain, Overcast"
03-01-2022,14:00,38.6,38.6,11.8,0,75.39,0.185,13.1,96.8,"Snow, Rain, Overcast"
03-01-2022,15:00,38.6,38.6,11.7,-0.1,76.98,0.494,10.4,100,"Snow, Rain, Overcast"
03-01-2022,16:00,38.5,38.6,11.6,-0.5,78.44,0.185,10,100,"Snow, Rain, Overcast"
03-01-2022,17:00,38.5,38.6,11.5,-0.8,79.66,0.185,11,100,"Snow, Rain, Overcast"
03-01-2022,18:00,38.3,38.6,11.4,-1,80.74,0,13.7,100,Overcast
03-01-2022,19:00,38.5,38.5,11.4,-1.1,81.32,0,12.1,100,Overcast
03-01-2022,20:00,38.3,38.5,11.3,-1.2,83.44,0,11.3,100,Overcast
03-01-2022,21:00,38.4,38.3,11.2,-1.8,85.66,0,7.2,94.9,Overcast
03-01-2022,22:00,38.4,38.5,11.2,-2.8,91.88,0,1.5,7.8,Clear
