 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 02 22:49:57 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,,,,,
,,,,,,,,,,,,
Site Id,Date,Time,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) 
2078,01-01-2022,00:00,38.2,35.9,31,36.9,34,15.9,15.5,15.5,14.6,14.3
2078,01-01-2022,01:00,38.2,36,30.9,36.7,34.1,16,15.6,15.6,14.7,14.3
2078,01-01-2022,02:00,38.3,36,31,36.7,33.9,16,15.6,15.6,14.7,14.3
2078,01-01-2022,03:00,38.3,35.8,30.9,36.7,33.9,16.1,15.7,15.6,14.7,14.3
2078,01-01-2022,04:00,38.3,35.9,30.9,36.7,33.9,16.2,15.7,15.7,14.7,14.3
2078,01-01-2022,05:00,38.3,35.9,31,36.8,33.9,16.2,15.8,15.7,14.7,14.3
2078,01-01-2022,06:00,38.3,35.9,31,36.8,33.9,16.2,15.8,15.8,14.7,14.3
2078,01-01-2022,07:00,38.3,36,31,36.8,33.9,16.2,15.8,15.8,14.8,14.3
2078,01-01-2022,08:00,38.2,35.8,30.8,36.8,33.9,16.3,15.9,15.8,14.8,14.3
2078,01-01-2022,09:00,38.3,35.8,30.8,36.8,33.8,16.3,15.9,15.8,14.8,14.3
2078,01-01-2022,10:00,38.4,35.7,31,36.6,33.9,16.5,15.9,15.9,14.8,14.3
2078,01-01-2022,11:00,38.4,35.5,30.8,36.6,33.9,16.7,15.9,16,14.8,14.3
2078,01-01-2022,12:00,38.5,35.4,30.7,36.7,33.9,17,16,16.1,14.9,14.3
2078,01-01-2022,13:00,38.4,35.5,30.7,36.7,33.9,17.2,16.1,16.2,14.9,14.4
2078,01-01-2022,14:00,38.4,35.4,30.8,36.7,33.9,17.3,16.3,16.3,14.9,14.4
2078,01-01-2022,15:00,38.3,35.5,30.8,36.6,33.9,17.4,16.4,16.5,14.9,14.4
2078,01-01-2022,16:00,38.2,35.4,30.6,36.6,33.9,17.4,16.5,16.6,14.9,14.4
2078,01-01-2022,17:00,38.1,35.4,30.7,36.8,33.9,17.4,16.6,16.6,15,14.4
2078,01-01-2022,18:00,38,35.4,30.6,36.8,33.9,17.4,16.6,16.7,15,14.4
2078,01-01-2022,19:00,43,42.2,37.9,51.8,33.9,17.3,17,16.9,15.3,14.4
2078,01-01-2022,20:00,44,44,41.6,51.9,57.4,16.8,16.9,17.1,15.8,14.5
2078,01-01-2022,21:00,42.9,42.1,36.7,41.1,36.9,16.3,16.6,16.9,15.9,14.5
2078,01-01-2022,22:00,44.3,43.8,38.6,51.8,51.5,15.9,16.4,16.7,16.1,14.5
2078,01-01-2022,23:00,42.7,41.1,36.1,40.5,36.7,15.7,16.1,16.5,15.9,14.5
2078,02-01-2022,00:00,41.7,40.5,34.4,39.9,36.6,15.7,16,16.4,15.8,14.5
2078,02-01-2022,01:00,41.4,39.7,33.9,39.4,36.2,15.7,16,16.3,15.7,14.5
2078,02-01-2022,02:00,41.1,39.4,33.4,39.4,35.9,15.6,15.9,16.2,15.6,14.5
2078,02-01-2022,03:00,40.7,39.1,33.3,39,35.7,15.6,15.8,16.1,15.6,14.5
2078,02-01-2022,04:00,40.6,38.8,33.2,38.9,35.6,15.5,15.8,16,15.6,14.5
2078,02-01-2022,05:00,40.4,38.6,33.1,38.7,35.6,15.4,15.7,16,15.6,14.5
2078,02-01-2022,06:00,40.3,38.4,32.7,38.7,35.4,15.4,15.7,15.9,15.6,14.5
2078,02-01-2022,07:00,40.2,38.3,32.6,38.6,35.3,15.3,15.6,15.8,15.6,14.5
2078,02-01-2022,08:00,39.9,38.2,32.4,38.5,35.2,15.3,15.6,15.8,15.5,14.6
2078,02-01-2022,09:00,39.9,38,32.5,38.4,35,15.3,15.5,15.7,15.5,14.6
2078,02-01-2022,10:00,39.8,38,32.4,38.3,34.9,15.3,15.5,15.7,15.5,14.6
2078,02-01-2022,11:00,39.6,37.7,32.3,38.1,34.9,15.2,15.5,15.7,15.5,14.6
2078,02-01-2022,12:00,39.6,37.6,32.2,38.2,34.8,15.2,15.5,15.6,15.5,14.6
2078,02-01-2022,13:00,39.4,37.5,32.1,38,34.7,15,15.4,15.6,15.5,14.6
2078,02-01-2022,14:00,39.2,37.3,32,38.1,34.8,14.9,15.4,15.5,15.5,14.6
2078,02-01-2022,15:00,39.3,37.5,32.1,38,34.7,14.7,15.3,15.5,15.5,14.6
2078,02-01-2022,16:00,39.1,37.2,32,38,34.8,14.6,15.2,15.4,15.4,14.6
2078,02-01-2022,17:00,39,37.2,31.9,37.9,34.7,14.3,15.1,15.3,15.4,14.7
2078,02-01-2022,18:00,39.6,37.1,31.9,37.9,34.6,14,14.9,15.1,15.4,14.7
2078,02-01-2022,19:00,41.4,37.3,31.9,37.9,34.6,13.6,14.8,15,15.4,14.7
2078,02-01-2022,20:00,42.1,38.1,32.4,37.7,34.5,13.2,14.6,14.8,15.4,14.7
2078,02-01-2022,21:00,42,39.9,35.3,37.8,34.5,12.6,14.3,14.5,15.4,14.7
2078,02-01-2022,22:00,41.4,39.7,34.9,37.8,34.5,12.2,14,14.3,15.3,14.7
2078,02-01-2022,23:00,41,39.5,34.4,40.1,34.5,12,13.8,14,15.3,14.7
2078,03-01-2022,00:00,40.8,39.2,34.1,41.2,34.5,11.8,13.6,13.8,15.3,14.7
2078,03-01-2022,01:00,40.6,39.1,33.8,40.8,34.5,11.7,13.4,13.6,15.2,14.7
2078,03-01-2022,02:00,40.8,38.9,34,40.6,34.7,11.5,13.2,13.4,15.2,14.8
2078,03-01-2022,03:00,40.8,38.9,34,40.3,35.1,11.4,13.1,13.2,15.2,14.8
2078,03-01-2022,04:00,40.9,38.8,34.1,40.5,35.3,11.2,12.9,13.1,15.1,14.8
2078,03-01-2022,05:00,40.8,38.9,34,40.6,35.6,11.1,12.8,12.9,15.1,14.8
2078,03-01-2022,06:00,40.9,38.8,34,40.7,35.8,11,12.7,12.8,15,14.8
2078,03-01-2022,07:00,40.7,38.8,33.9,40.6,35.8,10.8,12.5,12.6,14.9,14.8
2078,03-01-2022,08:00,40.6,38.8,33.8,40.4,35.8,10.7,12.4,12.5,14.9,14.8
2078,03-01-2022,09:00,40.6,38.8,33.7,40.2,35.8,10.6,12.3,12.4,14.8,14.8
2078,03-01-2022,10:00,40.5,38.8,33.7,40,35.6,10.5,12.2,12.3,14.8,14.8
2078,03-01-2022,11:00,40.6,38.6,33.6,39.8,35.8,10.4,12.1,12.2,14.7,14.8
2078,03-01-2022,12:00,40.5,38.6,33.6,39.8,35.6,10.3,12,12.1,14.6,14.8
2078,03-01-2022,13:00,40.6,38.6,33.6,39.5,35.6,10.2,11.9,12,14.6,14.8
2078,03-01-2022,14:00,40.4,38.6,33.6,39.4,35.5,10.1,11.8,11.9,14.5,14.8
2078,03-01-2022,15:00,40.3,38.6,33.6,39.3,35.6,10,11.7,11.8,14.4,14.8
2078,03-01-2022,16:00,40.2,38.5,33.4,39.2,35.6,9.9,11.6,11.7,14.4,14.8
2078,03-01-2022,17:00,40.1,38.5,33.4,39.1,35.5,9.8,11.5,11.6,14.3,14.8
2078,03-01-2022,18:00,40.1,38.3,33.4,39.2,35.5,9.8,11.4,11.5,14.3,14.8
2078,03-01-2022,19:00,40.1,38.5,33.4,39.2,35.4,9.7,11.4,11.4,14.2,14.8
2078,03-01-2022,20:00,40.2,38.3,33.4,39.2,35.5,9.6,11.3,11.3,14.1,14.8
2078,03-01-2022,21:00,40.2,38.4,33.5,39.2,35.5,9.5,11.2,11.2,14.1,14.8
2078,03-01-2022,22:00,40.4,38.4,33.4,39.2,35.5,9.5,11.2,11.2,14,14.8
2078,03-01-2022,23:00,40.4,38.4,33.3,39.1,35.5,9.4,11.1,11.1,14,14.8
2078,04-01-2022,00:00,40.4,38.4,33.3,39.2,35.5,9.3,11,11,13.9,14.8
2078,04-01-2022,01:00,40.3,38.4,33.3,39,35.4,9.3,10.9,11,13.8,14.8
2078,04-01-2022,02:00,40,38.4,33.1,38.9,35.4,9.2,10.9,10.9,13.8,14.8
2078,04-01-2022,03:00,39.8,38.4,33.1,38.9,35.2,9.2,10.8,10.8,13.7,14.8
2078,04-01-2022,04:00,39.7,38.3,32.9,38.9,35.4,9.1,10.7,10.8,13.7,14.8
2078,04-01-2022,05:00,39.6,38.2,32.9,38.7,35.2,9.1,10.7,10.7,13.6,14.8
2078,04-01-2022,06:00,39.5,38.2,32.6,38.8,35.2,9.1,10.6,10.7,13.6,14.8
2078,04-01-2022,07:00,39.5,38,33.7,38.6,35.1,9,10.6,10.6,13.5,14.8
2078,04-01-2022,08:00,39.4,38,32.8,38.6,35.1,8.9,10.5,10.5,13.4,14.8
2078,04-01-2022,09:00,39.4,38,32.5,38.5,34.9,8.9,10.4,10.5,13.4,14.8
2078,04-01-2022,10:00,39.3,37.9,32.6,38.3,34.9,8.9,10.4,10.4,13.3,14.8
2078,04-01-2022,11:00,39.3,37.9,32.4,38.2,34.9,8.8,10.3,10.4,13.3,14.8
2078,04-01-2022,12:00,39.4,37.7,32.5,38.1,34.8,8.8,10.3,10.3,13.2,14.7
