name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pune,2021-01-01,85.3,60.9,71.2,86.7,60.9,71.6,63.1,77.3,0,0,0,,,,,11,111.2,1012.7,70.3,3.4,168.9,14.4,6,,2021-01-01T07:07:00,2021-01-01T18:09:27,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2021-01-02,83.9,63.6,71.6,84,63.6,71.6,63.2,76.7,0,0,0,,,,,8.9,119.9,1012.5,69.6,3.9,130.6,11.1,6,,2021-01-02T07:07:19,2021-01-02T18:10:03,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2021-01-03,83,60.5,70.5,82.6,60.5,70.5,60.4,73.3,0,0,0,,,,,9.4,125.9,1011.1,60.4,3.4,166.4,14.2,7,,2021-01-03T07:07:38,2021-01-03T18:10:40,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2021-01-04,80.3,63.2,70.7,81.4,63.2,70.8,63.2,78.7,0.036,100,25,rain,,,,10.1,139.8,1010.7,60.2,3.4,157.7,13.6,7,,2021-01-04T07:07:56,2021-01-04T18:11:17,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
pune,2021-01-05,80.8,62.5,71.1,82.9,62.5,71.3,63.9,79.1,0.004,100,4.17,rain,,,,8.3,92.3,1011.5,86.3,3.9,139.9,12.2,5,,2021-01-05T07:08:13,2021-01-05T18:11:54,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43063099999,43111099999,remote,43060099999"
pune,2021-01-06,86.2,64.5,72.9,86.5,64.5,73.1,64.6,77.1,0,0,0,,,,,9.2,102.4,1010.5,66.6,3.4,169.9,14.6,7,,2021-01-06T07:08:28,2021-01-06T18:12:32,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2021-01-07,83,65,71.8,85.7,65,72.2,67.3,86.6,0.157,100,4.17,rain,,,,10.5,103.8,1009.4,72.9,3.4,76.4,6.6,3,,2021-01-07T07:08:43,2021-01-07T18:13:10,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
pune,2021-01-08,80.1,65.6,71.5,82.7,65.6,71.6,68.2,90.1,1.299,100,12.5,rain,,,,10.1,135.3,1009.2,72.4,3.4,146.1,12.6,7,,2021-01-08T07:08:56,2021-01-08T18:13:48,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
pune,2021-01-09,83,65.6,73.7,89.6,65.6,74.6,68.5,85.2,0.092,100,25,rain,,,,7.6,116.3,1009.5,70.5,3.6,181.8,15.6,7,,2021-01-09T07:09:08,2021-01-09T18:14:26,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43063099999,43111099999,remote,43060099999"
pune,2021-01-10,84.8,65.6,74.4,88.1,65.6,75.1,66.8,79.1,0,0,0,,,,,8.9,93.7,1010.4,54.5,3.9,169.2,14.7,6,,2021-01-10T07:09:19,2021-01-10T18:15:04,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
