 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Oct 31 07:34:14 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,,,,,
,,,,,,,,,,,,
Site Id,Date,Time,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) 
2078,01-01-2022,,38.2,35.9,31,36.9,34,15.9,15.5,15.5,14.6,14.3
2078,02-01-2022,,41.7,40.5,34.4,39.9,36.6,15.7,16,16.4,15.8,14.5
2078,03-01-2022,,40.8,39.2,34.1,41.2,34.5,11.8,13.6,13.8,15.3,14.7
2078,04-01-2022,,40.4,38.4,33.3,39.2,35.5,9.3,11,11,13.9,14.8
2078,05-01-2022,,41.6,39.7,35.7,46,34.9,7.3,9,9.2,12.5,14.6
2078,06-01-2022,,37.8,36.9,33.9,37.7,34.5,7.9,9.2,9.4,11.8,14.2
2078,07-01-2022,,37.9,37,34,37.9,34.9,5.6,7.3,7.5,11,13.7
2078,08-01-2022,,36.6,35.4,32.9,36.6,34.1,4.5,6.2,6.4,10,13.3
2078,09-01-2022,,36.1,34.9,32.5,36.3,33.6,6.1,6.8,6.9,9.3,12.8
2078,10-01-2022,,39.2,38,34.6,38.5,35.3,7.8,8.6,8.6,9.4,12.3
2078,11-01-2022,,37,35.8,33.2,36.7,34,5.3,6.8,7,9.4,12.1
2078,12-01-2022,,36.4,35.1,32.6,36.3,33.6,4.9,6.2,6.5,8.9,11.9
2078,13-01-2022,,36,34.7,32.3,36.1,33.5,5.3,6.3,6.5,8.6,11.6
2078,14-01-2022,,34.8,34.4,32,36,33.4,6,6.9,7.1,8.6,11.4
2078,15-01-2022,,34.2,34.3,31.9,35.7,33.1,6.2,6.9,7.1,8.6,11.2
2078,16-01-2022,,40.8,37.6,32.5,35.8,33.1,6.7,7.2,7.3,8.6,11.1
2078,17-01-2022,,38.9,38.2,34.6,38.6,35.2,4.6,5.8,6,8.2,10.8
2078,18-01-2022,,36.7,36.2,33.1,36.8,33.9,4.4,5.4,5.5,7.8,10.7
2078,19-01-2022,,36.4,35.5,32.7,36.2,33.6,5.3,5.8,6,7.5,10.5
2078,20-01-2022,,40.9,41.2,37.9,40.6,36.5,9.3,8.7,8.8,8,10.1
2078,21-01-2022,,36.6,36.6,33.4,37.2,34,4.2,5.6,5.8,8.2,10.2
2078,22-01-2022,,35.7,35.4,32.7,36.3,33.6,3.2,4.5,4.7,7.4,10.1
2078,23-01-2022,,35,35,32.3,36.1,33.3,2.6,3.9,4.2,6.8,9.9
2078,24-01-2022,,34.8,34.6,32.1,35.8,33.2,3,3.9,4.2,6.4,9.7
2078,25-01-2022,,34.5,34.3,31.9,35.7,33,4.7,4.9,5.1,6.4,9.4
2078,26-01-2022,,34,34.1,31.7,35.6,32.8,4.3,5.3,5.5,6.8,9.2
2078,27-01-2022,,33.6,33.8,31.4,35.6,32.7,2.9,4.1,4.5,6.5,9.2
2078,28-01-2022,,33.4,33.6,31.1,35.5,32.7,4.2,4.7,5,6.3,9.1
2078,29-01-2022,,32.8,33.4,31,35.5,32.6,3.6,4.6,4.9,6.4,8.9
2078,30-01-2022,,32.4,33.2,30.6,35.3,32.6,2.5,3.7,4.1,6.2,8.9
2078,31-01-2022,,32,33,30.6,35.2,32.5,3.8,4.4,4.7,6,8.8
2078,01-02-2022,,31.8,32.9,30.4,35,32.3,4.1,4.7,5,6.1,8.6
2078,02-02-2022,,31.4,32.8,30.3,35.1,32.3,5.9,5.8,6,6.4,8.6
2078,03-02-2022,,39.1,39.3,36.6,42.4,32.3,7.6,7.1,7.2,7,8.6
2078,04-02-2022,,38.3,38.3,34.7,38.6,35,7.7,8.2,8.3,7.9,8.7
2078,05-02-2022,,36.3,36.7,33.5,37.2,34,4.9,6,6.2,7.7,8.9
2078,06-02-2022,,35.2,35.6,32.8,36.4,33.5,3.8,5,5.3,7.1,9
2078,07-02-2022,,34.7,35,32.3,36,33.3,4.2,5.1,5.4,6.7,8.9
2078,08-02-2022,,34.4,34.5,32.2,35.8,33.2,4.5,5.3,5.6,6.7,8.8
2078,09-02-2022,,34,34.3,32,35.7,32.9,4.7,5.5,5.8,6.7,8.7
2078,10-02-2022,,33.4,34,31.7,35.5,32.8,5,5.7,6,6.7,8.6
2078,11-02-2022,,33,33.7,31.4,35.6,32.8,5.7,6.2,6.5,6.9,8.6
2078,12-02-2022,,32.4,33.4,31.1,35.3,32.7,7.1,7.1,7.3,7.2,8.6
2078,13-02-2022,,31.6,33.2,30.9,35.4,32.5,6.4,7,7.3,7.7,8.7
2078,14-02-2022,,30.7,32.7,30.6,35.3,32.4,4.7,5.9,6.3,7.5,8.8
2078,15-02-2022,,30,32.5,30.2,35.2,32.3,5.2,6,6.4,7.2,8.9
2078,16-02-2022,,29.1,32.1,30,35.1,32.3,6.7,6.9,7.1,7.3,8.8
2078,17-02-2022,,27.9,31.6,29.7,35.3,32.4,8.9,8.4,8.6,7.8,8.8
2078,18-02-2022,,37.5,37.8,34.7,38.7,32.3,10.8,10.7,10.7,8.7,9
2078,19-02-2022,,35.2,35.8,32.8,37.1,33.4,6.4,7.7,8.1,8.9,9.3
2078,20-02-2022,,34.2,35,32.3,36.3,33.3,6.3,7.2,7.6,8.4,9.4
2078,21-02-2022,,33.6,34.4,31.9,36,33.2,7.2,7.4,7.7,8.2,9.4
2078,22-02-2022,,38.8,39.2,35,39.3,35.9,8.8,8.4,8.5,8.3,9.4
2078,23-02-2022,,46,42.7,37.6,52.1,49.4,13.2,13.1,13.4,12.4,9.3
2078,24-02-2022,,39.4,39.6,37.2,40.8,35.7,10.1,10.9,11,10.8,9.7
2078,25-02-2022,,40.3,37.5,34.1,37.5,34.2,11.9,11.3,11.2,10.4,10
2078,26-02-2022,,37.1,36.9,33.9,38,34.4,8.3,9.4,9.6,10.4,10.2
2078,27-02-2022,,41.3,41,37.7,52,33.9,7.4,8.1,8.3,9.6,10.4
2078,28-02-2022,,37.6,37.2,34.1,37.9,34.4,7,8,8.2,9.2,10.3
2078,01-03-2022,,36.4,35.9,33.3,37.1,33.7,7.7,8.4,8.7,9,10.2
2078,02-03-2022,,35.4,35.2,32.8,36.5,33.5,8.6,9.1,9.4,9.2,10.1
2078,03-03-2022,,34.6,34.6,32.4,36.3,33.3,9.9,10.1,10.5,9.6,10.1
2078,04-03-2022,,33.6,34.1,31.9,36.2,33.1,10.8,10.9,11.3,10.1,10.2
2078,05-03-2022,,32.2,33.4,31.5,36,32.9,11.8,11.6,12,10.5,10.4
2078,06-03-2022,,30,32.8,30.9,36,32.8,12.8,12.3,12.6,11.1,10.6
2078,07-03-2022,,27.4,31.8,30.3,36,32.9,14.2,13.6,13.8,11.8,10.9
2078,08-03-2022,,38.1,37.2,33.7,38.6,32.8,12.2,12.8,13,12.3,11.2
2078,09-03-2022,,43.8,46.3,38,51.9,38.7,10,10.6,11.2,12,11.6
2078,10-03-2022,,37.2,37.1,33.8,37.6,34.3,9.5,10.3,10.6,11.4,11.6
2078,11-03-2022,,35.8,35.7,33.1,36.8,33.8,10.8,11.3,11.7,11.3,11.6
2078,12-03-2022,,34.7,35,32.5,36.7,33.5,11,11.7,12,11.5,11.5
2078,13-03-2022,,37.7,37,33.4,37.5,33.2,7,8.7,9.2,11.1,11.6
2078,14-03-2022,,36.2,35.6,32.8,36.4,33.1,8.2,8.9,9.3,10.2,11.4
2078,15-03-2022,,35.3,34.7,32.2,36.4,32.9,10.1,10.1,10.4,10.2,11.2
2078,16-03-2022,,40.4,40,37.3,45.7,32.8,11.2,10.9,11.1,10.5,11.1
2078,17-03-2022,,38.2,37.4,34.2,38.2,34.8,11.4,11.7,11.9,11,11.1
