 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Oct 31 07:35:29 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,,,,,
,,,,,,,,,,,,
Site Id,Date,Time,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) 
2078,01-01-2023,,36.3,35.9,30.1,34.9,31.8,9.3,9.4,9.5,8.8,10
2078,02-01-2023,,35.9,35.1,29.3,35.2,31.8,10.2,10.1,10.3,9.5,10.3
2078,03-01-2023,,36,34.8,29.1,35.4,32,13.2,12.1,12,10.2,10.6
2078,04-01-2023,,38.7,36.8,31.2,37.3,34.7,13.5,12.9,12.9,11.4,11
2078,05-01-2023,,36.4,35.8,30,36.5,34.1,11,11.8,12.2,12,11.4
2078,06-01-2023,,34.9,34.6,29.1,36.2,33.6,8.1,9.3,9.9,11.4,11.8
2078,07-01-2023,,34,33.9,28.4,35.8,33.3,7.3,8.4,8.9,10.7,11.9
2078,08-01-2023,,34.1,33.8,28.3,35.5,33,9.3,9.4,9.5,10.2,11.8
2078,09-01-2023,,34,33.6,28.3,35.5,32.9,9.2,9.7,10,10.5,11.7
2078,10-01-2023,,33.4,33.4,27.9,35.3,32.7,7,8.2,8.7,10.3,11.7
2078,11-01-2023,,33.1,33.2,27.8,35.2,32.8,7.7,8.1,8.5,9.8,11.6
2078,12-01-2023,,33.3,33.3,27.8,35.2,32.6,10.5,10.1,10.1,10,11.5
2078,13-01-2023,,38.7,38,32,37.4,34.4,11.1,11.6,11.7,10.9,11.4
2078,14-01-2023,,36.1,35.5,29.7,36.3,33.9,6.8,8.1,8.6,10.7,11.6
2078,15-01-2023,,35,34.5,28.9,35.8,33.5,5.1,6.6,7.2,9.8,11.6
2078,16-01-2023,,34.3,34.4,28.5,35.7,33.3,5.4,6.6,7,9.1,11.4
2078,17-01-2023,,34.3,34.5,28.4,35.5,33,8.7,8.5,8.3,8.9,11.1
2078,18-01-2023,,37,36.7,30.5,35.7,32.8,10.4,10.6,10.5,9.7,11
2078,19-01-2023,,36.8,36,29.8,35.9,33.1,13.2,12.5,12.1,10.5,11
2078,20-01-2023,,36.1,36.5,30.1,36.5,34,10.2,11.2,11.4,11.4,11.3
2078,21-01-2023,,34.8,35.3,29.3,36.1,33.5,8,9.2,9.6,10.9,11.5
2078,22-01-2023,,34.3,34.9,28.7,35.8,33.3,8.3,8.9,9.1,10.3,11.6
2078,23-01-2023,,37.4,37.2,30.8,36.9,33.7,8.2,8.9,9.1,10.1,11.5
2078,24-01-2023,,36,35.9,29.6,36.2,33.7,6.3,7.7,8.2,9.9,11.4
2078,25-01-2023,,40.6,36.3,29.1,36,33.5,7.4,8,8.1,9.4,11.3
2078,26-01-2023,,36.9,36.8,30.2,36.6,34.1,6.9,7.7,8,9.3,11.1
2078,27-01-2023,,36.1,35.9,29.4,36.1,33.6,5.1,6.5,7,9,11
2078,28-01-2023,,35.2,35.1,29,35.8,33.4,5.3,6.2,6.6,8.4,10.9
